"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 13:33:41 IST 2025","Mon Oct 27 13:33:43 IST 2025","2622","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreatePaymentTokenSessionTests","com.externalAPIs.tests.Charge.CreatePaymentTokenSessionTests","createPaymentTokenSession","createPaymentTokenSession","Validates creation of a consumer payment token session using Glofox Client Token and organization context."
"passed","Mon Oct 27 13:33:43 IST 2025","Mon Oct 27 13:33:46 IST 2025","2864","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateAchPaymentChargeTests","com.externalAPIs.tests.Charge.CreateAchPaymentChargeTests","createAchPaymentCharge","createAchPaymentCharge","Ensures ACH payment charges can be successfully created, validated, and stored for reporting."
"passed","Mon Oct 27 13:33:13 IST 2025","Mon Oct 27 13:33:16 IST 2025","2602","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateLocationTests","com.externalAPIs.tests.common.CreateLocationTests","createLocation","createLocation","Verifies that a new location can be created successfully, with full error handling for all HTTP status codes."
"failed","Mon Oct 27 13:33:50 IST 2025","Mon Oct 27 13:33:52 IST 2025","2410","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","createRefundPayment","createRefundPayment","Ensures refunds are processed successfully by linking them to previous ACH charge transactions."
"passed","Mon Oct 27 13:33:10 IST 2025","Mon Oct 27 13:33:13 IST 2025","2820","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateOrganizationTests","com.externalAPIs.tests.common.CreateOrganizationTests","createOrganization","createOrganization","Validates that an organization can be created successfully with valid input data and handles duplicates gracefully."
"passed","Mon Oct 27 13:33:28 IST 2025","Mon Oct 27 13:33:31 IST 2025","2434","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientBankAccountTests","com.externalAPIs.tests.common.CreateClientBankAccountTests","createClientBankAccount","createClientBankAccount","Ensures a client bank account can be linked to an existing client profile with full HTTP status coverage."
"passed","Mon Oct 27 13:32:51 IST 2025","Mon Oct 27 13:32:59 IST 2025","8358","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Authorization_TokenTests","com.externalAPIs.tests.auth.Authorization_TokenTests","getAuthToken","getAuthToken","Ensures valid OAuth access token retrieval from the authorization server using Base64-encoded client credentials."
"passed","Mon Oct 27 13:33:26 IST 2025","Mon Oct 27 13:33:28 IST 2025","2701","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateBankPaymentTokenTests","com.externalAPIs.tests.common.CreateBankPaymentTokenTests","createBankPaymentToken","createBankPaymentToken","Ensures that new bank payment tokens can be created successfully, returning a valid token ID for linking."
"passed","Mon Oct 27 13:33:18 IST 2025","Mon Oct 27 13:33:20 IST 2025","2000","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateMerchantTests","com.externalAPIs.tests.common.CreateMerchantTests","createMerchant","createMerchant","Verifies merchant creation flow, validates response schema and ensures data persistence for update APIs."
"passed","Mon Oct 27 13:33:38 IST 2025","Mon Oct 27 13:33:41 IST 2025","2663","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateTerminalTests","com.externalAPIs.tests.common.CreateTerminalTests","createTerminal","createTerminal","Validates creation of a new terminal with unique terminal number and linked processor details dynamically."
