"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 15:49:20 IST 2025","Mon Oct 27 15:49:23 IST 2025","2618","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Secure_TokenTests","com.externalAPIs.tests.auth.Secure_TokenTests","getSecureAuthToken","getSecureAuthToken","Ensures secure OAuth token can be fetched successfully with valid Base64-encoded credentials for downstream API authentication."
"passed","Mon Oct 27 15:49:59 IST 2025","Mon Oct 27 15:50:02 IST 2025","2907","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateTerminalTests","com.externalAPIs.tests.common.CreateTerminalTests","createTerminal","createTerminal","Validates creation of a new terminal with unique terminal number and linked processor details dynamically."
"passed","Mon Oct 27 15:49:26 IST 2025","Mon Oct 27 15:49:28 IST 2025","1860","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientTests","com.externalAPIs.tests.common.CreateClientTests","createClient","createClient","Verifies that a new client can be created successfully and all possible HTTP status codes are handled gracefully."
"passed","Mon Oct 27 15:49:35 IST 2025","Mon Oct 27 15:49:37 IST 2025","2308","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateCompanyTests","com.externalAPIs.tests.common.CreateCompanyTests","createCompany","createCompany","Verifies that a company can be created successfully, including validation for all HTTP responses."
"passed","Mon Oct 27 15:49:28 IST 2025","Mon Oct 27 15:49:30 IST 2025","1863","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientTests","com.externalAPIs.tests.common.CreateClientTests","createClient","createClient","Verifies that a new client can be created successfully and all possible HTTP status codes are handled gracefully."
"passed","Mon Oct 27 15:49:44 IST 2025","Mon Oct 27 15:49:46 IST 2025","2327","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreatePaymentSessionConsumerTests","com.externalAPIs.tests.common.CreatePaymentSessionConsumerTests","createPaymentSessionConsumer","createPaymentSessionConsumer","Validates creation of a payment session consumer and ensures response structure and status validation."
"failed","Mon Oct 27 15:50:09 IST 2025","Mon Oct 27 15:50:11 IST 2025","2224","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","createRefundPayment","createRefundPayment","Ensures refunds are processed successfully by linking them to previous ACH charge transactions."
"passed","Mon Oct 27 15:49:24 IST 2025","Mon Oct 27 15:49:26 IST 2025","1827","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Glofox_SecureClientTokenTests","com.externalAPIs.tests.auth.Glofox_SecureClientTokenTests","getGlofoxSecureClientToken","getGlofoxSecureClientToken","Ensures Glofox Secure Client Token can be retrieved using Base64-encoded credentials for secure payment APIs."
"passed","Mon Oct 27 15:49:46 IST 2025","Mon Oct 27 15:49:48 IST 2025","2103","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateBankPaymentTokenTests","com.externalAPIs.tests.common.CreateBankPaymentTokenTests","createBankPaymentToken","createBankPaymentToken","Ensures that new bank payment tokens can be created successfully, returning a valid token ID for linking."
"failed","Mon Oct 27 15:50:04 IST 2025","Mon Oct 27 15:50:06 IST 2025","2267","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateAchPaymentChargeTests","com.externalAPIs.tests.Charge.CreateAchPaymentChargeTests","createAchPaymentCharge","createAchPaymentCharge","Ensures ACH payment charges can be successfully created, validated, and stored for reporting."
